City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lerwick,60.1545,-1.1494,13.0,73,100,13.04,GB,1691592767
1,maceio,-9.6658,-35.7353,27.69,69,75,5.14,BR,1691592861
2,kapa'a,22.0752,-159.319,27.18,81,100,8.75,US,1691592874
3,port-aux-francais,-49.35,70.2167,2.47,75,14,8.67,TF,1691592875
4,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,77,0,4.0,RU,1691592685
5,albany,42.6001,-73.9662,24.89,68,98,1.34,US,1691592634
6,iqaluit,63.7506,-68.5145,5.85,93,100,4.92,CA,1691592687
7,nuuk,64.1835,-51.7216,5.34,93,100,3.6,GL,1691592875
8,yellowknife,62.456,-114.3525,16.29,67,100,5.66,CA,1691592875
9,waitangi,-43.9535,-176.5597,9.34,80,59,3.13,NZ,1691592875
10,blackmans bay,-43.0167,147.3167,12.07,64,100,2.97,AU,1691592875
11,hawaiian paradise park,19.5933,-154.9731,22.73,97,100,2.06,US,1691592705
12,port elizabeth,-33.918,25.5701,18.39,72,75,8.75,ZA,1691592775
13,trinity beach,-16.7888,145.6968,20.56,97,75,4.63,AU,1691592876
14,colonia,50.9333,6.95,24.12,51,20,1.54,DE,1691592062
15,ciudad bolivar,8.1222,-63.5497,32.73,53,79,3.38,VE,1691592876
16,crane,31.3974,-102.3501,31.1,34,9,6.28,US,1691592876
17,ribeira grande,38.5167,-28.7,26.22,78,20,6.17,PT,1691592877
18,dudinka,69.4058,86.1778,21.46,64,60,4.58,RU,1691592877
19,wailua homesteads,22.0669,-159.378,26.44,81,100,8.75,US,1691592877
20,smithers,54.7804,-127.1743,13.18,100,75,1.03,CA,1691592612
21,haiku-pauwela,20.9219,-156.3051,24.47,73,0,6.69,US,1691592706
22,isafjordur,66.0755,-23.124,14.02,41,0,6.17,IS,1691592877
23,tura,25.5198,90.2201,24.15,97,100,1.14,IN,1691592878
24,shingu,33.7333,135.9833,26.63,94,79,5.2,JP,1691592878
25,aasiaat,68.7098,-52.8699,4.89,75,47,2.1,GL,1691592878
26,hadibu,12.65,54.0333,26.12,76,91,7.75,YE,1691592878
27,abashiri,44.0213,144.2697,18.4,99,100,1.91,JP,1691592878
28,edinburgh of the seven seas,-37.0676,-12.3116,11.58,59,41,8.67,SH,1691592878
29,kadaura,25.9833,79.85,31.2,61,100,3.06,IN,1691592878
30,mitchell,43.7094,-98.0298,19.85,88,0,0.0,US,1691592708
31,ancud,-41.8697,-73.8203,11.28,91,100,10.55,CL,1691592879
32,sur,22.5667,59.5289,34.1,49,10,5.65,OM,1691592879
33,hammerfest,70.6634,23.6821,26.25,57,20,3.6,NO,1691592879
34,adamstown,-25.066,-130.1015,20.24,64,60,11.46,PN,1691592682
35,longyearbyen,78.2186,15.6401,10.91,62,0,6.17,SJ,1691592879
36,thompson,55.7435,-97.8558,12.09,66,40,5.66,CA,1691592705
37,kone,-21.0595,164.8658,15.03,89,22,1.46,NC,1691592752
38,saipan,15.1355,145.701,27.39,100,40,3.09,MP,1691592880
39,kwang binh,17.4833,106.6,28.76,71,99,4.83,VN,1691592880
40,nadym,65.5333,72.5167,12.88,56,0,9.28,RU,1691592880
41,geraldton,-28.7667,114.6,10.23,87,40,1.54,AU,1691592595
42,bethel,41.3712,-73.414,26.38,63,0,4.63,US,1691592880
43,grytviken,-54.2811,-36.5092,-4.47,76,15,4.18,GS,1691592686
44,bredasdorp,-34.5322,20.0403,15.88,83,0,5.05,ZA,1691592880
45,klyuchi,52.2667,79.1667,23.86,37,37,2.24,RU,1691592880
46,egilsstadir,65.2653,-14.3948,9.95,66,75,7.2,IS,1691592881
47,tazacorte,28.629,-17.9293,26.54,83,20,5.66,ES,1691592881
48,bukene,-4.2333,32.8833,29.92,22,21,2.13,TZ,1691592881
49,puerto natales,-51.7236,-72.4875,2.95,91,100,0.3,CL,1691592681
50,puerto deseado,-47.7503,-65.8938,9.92,65,100,6.08,AR,1691592881
51,margaret river,-33.95,115.0667,11.12,70,82,1.02,AU,1691592881
52,selogiri,-7.7833,110.8667,21.87,81,92,0.75,ID,1691592881
53,kantunilkin,21.0917,-87.45,33.42,52,55,2.19,MX,1691592881
54,hermanus,-34.4187,19.2345,19.89,69,0,4.08,ZA,1691592697
55,byron bay,-28.65,153.6167,9.84,79,1,1.65,AU,1691592882
56,dinguiraye,11.3,-10.7167,29.1,65,82,0.09,GN,1691592882
57,vila velha,-20.3297,-40.2925,23.97,83,75,5.66,BR,1691592827
58,puerto ayora,-0.7393,-90.3518,25.98,86,96,2.24,EC,1691592882
59,ushuaia,-54.8,-68.3,3.81,87,0,2.57,AR,1691592650
60,olonkinbyen,70.9221,-8.7187,5.86,98,95,5.27,SJ,1691592882
61,uturoa,-16.7333,-151.4333,25.17,70,99,7.83,PF,1691592883
62,lospalos,-8.5186,127.0025,19.97,95,60,1.98,TL,1691592883
63,ust'-talovka,50.5493,81.85,20.1,42,33,2.45,KZ,1691592883
64,tiksi,71.6872,128.8694,16.45,53,17,3.42,RU,1691592883
65,yermakovskoye,53.2831,92.4003,16.94,72,38,1.07,RU,1691592883
66,recreo,-29.2818,-65.061,18.05,44,56,7.58,AR,1691592883
67,arraial do cabo,-22.9661,-42.0278,22.92,73,40,8.23,BR,1691592883
68,buchanan,5.8808,-10.0467,25.07,86,99,6.18,LR,1691592884
69,stanley,54.868,-1.6985,20.44,67,20,4.63,GB,1691592692
70,mlowo,-9.0,32.9833,22.3,36,3,5.47,TZ,1691592884
71,kapit,2.0167,112.9333,24.53,92,100,0.39,MY,1691592884
72,yemetsk,63.4721,41.7941,24.74,58,6,1.67,RU,1691592884
73,avarua,-21.2078,-159.775,22.03,78,75,7.2,CK,1691592695
74,suwayr,30.1171,40.3893,39.52,12,0,5.04,SA,1691592884
75,dakoro,14.5106,6.765,32.55,44,55,4.06,NE,1691592885
76,hanceville,34.0607,-86.7675,27.72,63,37,2.23,US,1691592885
77,qaqortoq,60.7167,-46.0333,8.21,66,26,3.62,GL,1691592885
78,sitia,35.2,26.0986,30.55,69,0,11.58,GR,1691592885
79,fort bragg,35.139,-79.006,28.69,55,0,3.6,US,1691592885
80,la sarre,48.8002,-79.1996,23.25,51,9,3.78,CA,1691592885
81,punta arenas,-53.15,-70.9167,4.05,88,100,4.06,CL,1691592885
82,talnakh,69.4865,88.3972,21.23,55,73,4.67,RU,1691592885
83,weno,7.4515,151.8468,26.97,94,100,3.09,FM,1691592886
84,east london,-33.0153,27.9116,18.52,68,100,5.14,ZA,1691592702
85,ilulissat,69.2167,-51.1,10.01,53,20,2.06,GL,1691592886
86,coquimbo,-29.9533,-71.3436,13.85,82,75,2.57,CL,1691592886
87,papatowai,-46.5619,169.4708,2.62,80,85,3.32,NZ,1691592886
88,usinsk,65.9939,57.5281,15.18,63,100,4.34,RU,1691592886
89,enewetak,11.3474,162.3373,28.15,78,97,5.71,MH,1691592698
90,amga,60.8953,131.9608,11.25,67,1,1.35,RU,1691592886
91,xining,36.6167,101.7667,18.6,82,90,0.64,CN,1691592887
92,sitangkai,4.6628,119.3928,28.74,74,68,2.66,PH,1691592887
93,larkird,35.4894,66.6641,23.47,37,2,2.88,AF,1691592887
94,maine soroa,13.2114,12.0241,31.66,48,92,3.65,NE,1691592887
95,obo,5.3998,26.4869,25.76,82,90,0.65,CF,1691592887
96,forio,40.7342,13.8646,29.16,65,78,6.71,IT,1691592887
97,namibe,-15.1961,12.1522,20.41,72,19,3.42,AO,1691592716
98,sinop,41.7711,34.8709,18.24,65,20,2.9,TR,1691592888
99,mount gambier,-37.8333,140.7667,9.33,91,66,5.09,AU,1691592888
100,davyd-haradok,52.0566,27.2161,18.81,67,100,2.02,BY,1691592888
101,kirovskiy,45.0917,133.5136,20.44,96,100,1.62,RU,1691592888
102,fale old settlement,-9.3852,-171.2468,28.09,78,23,6.26,TK,1691592888
103,santa ana,33.7456,-117.8678,24.43,85,75,1.54,US,1691592888
104,revda,56.801,59.9303,20.34,69,23,1.68,RU,1691592888
105,colac,-38.3333,143.5833,13.43,95,100,3.76,AU,1691592889
106,fuding,27.3273,120.214,25.98,97,80,0.94,CN,1691592889
107,waingapu,-9.6567,120.2641,22.67,85,5,4.04,ID,1691592889
108,afaahiti,-17.75,-149.2833,21.93,73,96,7.06,PF,1691592889
109,tabou,4.423,-7.3528,25.36,81,90,6.02,CI,1691592889
110,paradip garh,20.3167,86.6167,30.22,70,100,4.33,IN,1691592889
111,lesogorsk,56.0458,99.5136,17.35,70,93,1.32,RU,1691592889
112,susuman,62.7833,148.1667,3.03,95,49,0.91,RU,1691592890
113,ballina,-28.8667,153.5667,9.88,85,2,2.46,AU,1691592890
114,port alfred,-33.5906,26.891,18.43,75,80,3.58,ZA,1691592890
115,andahuaylas,-13.6556,-73.3872,13.91,60,86,1.94,PE,1691592890
116,al qusayr,34.5091,36.5798,30.53,45,0,5.11,SY,1691592890
117,box elder,41.5005,-112.8764,19.03,48,14,1.82,US,1691592890
118,grand falls-windsor,48.9332,-55.6649,16.95,72,98,0.89,CA,1691592890
119,bac lieu,9.285,105.7244,27.67,79,1,5.49,VN,1691592891
120,chernyshevskiy,63.0128,112.4714,15.99,92,82,1.97,RU,1691592891
